,Mkt-RF,SMB,HML,RMW,CMA,RF
2010-01-31,-3.36,0.34,0.43,-1.27,0.46,0
2010-02-28,3.4,1.51,3.23,-0.27,1.43,0
2010-03-31,6.31,1.85,2.21,-0.65,1.69,0.01
2010-04-30,2,4.98,2.89,0.69,1.72,0.01
2010-05-31,-7.89,0.04,-2.44,1.3,-0.22,0.01
2010-06-30,-5.57,-2.47,-4.7,-0.16,-1.55,0.01
2010-07-31,6.93,0.14,-0.33,0.27,1.98,0.01
2010-08-31,-4.77,-3.13,-1.93,0.58,-1.61,0.01
2010-09-30,9.54,3.77,-3.18,-0.18,0.36,0.01
2010-10-31,3.88,0.86,-2.51,1.31,-0.33,0.01
2010-11-30,0.6,3.64,-0.92,0.38,1.63,0.01
2010-12-31,6.82,0.99,3.76,-3.52,3.21,0.01
2011-01-31,1.99,-2.38,0.75,-0.65,0.77,0.01
2011-02-28,3.49,1.65,1.27,-1.93,0.87,0.01
2011-03-31,0.46,2.63,-1.85,1.8,-0.05,0.01
2011-04-30,2.9,-0.5,-2.49,1.11,-0.86,0
2011-05-31,-1.27,-0.71,-2,1.91,-1.5,0
2011-06-30,-1.75,0.13,-0.39,2.43,-1.51,0
2011-07-31,-2.35,-1.2,-0.9,2.68,-1.82,0
2011-08-31,-5.99,-3.2,-2.36,3.3,-0.38,0.01
2011-09-30,-7.59,-3.65,-1.72,2.04,0.26,0
2011-10-31,11.35,3.46,0.1,-2.16,-0.86,0
2011-11-30,-0.28,-0.27,-0.45,1.86,1.49,0
2011-12-31,0.74,-0.33,1.63,0.98,2.51,0
2012-01-31,5.05,2.05,-0.97,-2.01,-1.43,0
2012-02-29,4.42,-1.7,0.43,-0.48,-0.01,0
2012-03-31,3.11,-0.47,1.14,-0.54,0.74,0
2012-04-30,-0.85,-0.55,-0.78,1.3,0.65,0
2012-05-31,-6.19,-0.12,-1.06,2.08,2.32,0.01
2012-06-30,3.89,0.84,0.62,-1.09,0.46,0
2012-07-31,0.79,-2.8,-0.02,1.1,0.09,0
2012-08-31,2.55,0.45,1.3,-1.33,-0.86,0.01
2012-09-30,2.73,0.61,1.6,-1.49,1.54,0.01
2012-10-31,-1.76,-0.9,3.59,-1.34,2.51,0.01
2012-11-30,0.78,0.47,-0.84,0.6,0.84,0.01
2012-12-31,1.18,1.91,3.51,-1.85,0.88,0.01
2013-01-31,5.57,0.47,0.96,-1.93,1.42,0
2013-02-28,1.29,-0.25,0.11,-0.67,0.54,0
2013-03-31,4.03,0.86,-0.19,0.14,1.37,0
2013-04-30,1.55,-2.25,0.45,0.27,0.37,0
2013-05-31,2.8,2.09,2.63,-1.97,-0.91,0
2013-06-30,-1.2,1.56,0.03,-0.38,0.01,0
2013-07-31,5.65,1.8,0.57,-1.35,0.52,0
2013-08-31,-2.71,-0.06,-2.69,0.66,-2.16,0
2013-09-30,3.77,2.66,-1.22,-0.58,-1.4,0
2013-10-31,4.18,-1.51,1.25,2.78,0.92,0
2013-11-30,3.13,1.4,0.32,0.14,0.05,0
2013-12-31,2.81,-0.44,-0.02,-0.46,0.08,0
2014-01-31,-3.32,0.58,-2.07,-3.88,-1.43,0
2014-02-28,4.65,0.16,-0.31,-0.23,-0.47,0
2014-03-31,0.43,-1.13,4.93,2.13,1.98,0
2014-04-30,-0.19,-4.14,1.17,3.48,1.04,0
2014-05-31,2.06,-1.89,-0.13,0.05,-1.01,0
2014-06-30,2.61,3.1,-0.7,-1.89,-1.98,0
2014-07-31,-2.04,-4.29,0.03,0.88,0.51,0
2014-08-31,4.24,0.31,-0.45,-0.63,-0.69,0
2014-09-30,-1.97,-3.73,-1.34,1.31,-0.49,0
2014-10-31,2.52,3.72,-1.81,-0.55,-0.09,0
2014-11-30,2.55,-2.28,-3.09,1.5,0.26,0
2014-12-31,-0.06,2.86,2.27,-1.22,0.96,0
2015-01-31,-3.11,-0.91,-3.58,1.6,-1.66,0
2015-02-28,6.13,0.31,-1.86,-1.1,-1.79,0
2015-03-31,-1.12,3.07,-0.37,0.09,-0.51,0
2015-04-30,0.59,-3.06,1.82,0.02,-0.65,0
2015-05-31,1.36,0.82,-1.14,-1.78,-0.72,0
2015-06-30,-1.53,2.89,-0.79,0.45,-1.57,0
2015-07-31,1.54,-4.58,-4.13,0.31,-2.46,0
2015-08-31,-6.04,0.24,2.77,0.69,1.24,0
2015-09-30,-3.07,-2.8,0.56,1.8,-0.6,0
2015-10-31,7.75,-2.05,-0.46,0.86,0.55,0
2015-11-30,0.56,3.29,-0.42,-2.71,-1.03,0
2015-12-31,-2.17,-2.97,-2.61,0.45,0.03,0.01
2016-01-31,-5.77,-3.48,2.09,2.8,3.07,0.01
2016-02-29,-0.07,0.85,-0.57,3.28,1.99,0.02
2016-03-31,6.96,1.08,1.19,0.76,-0.04,0.02
2016-04-30,0.91,1.22,3.28,-2.92,1.86,0.01
2016-05-31,1.78,-0.62,-1.66,-1.07,-2.49,0.01
2016-06-30,-0.05,0.44,-1.48,1.39,1.91,0.02
2016-07-31,3.95,2.49,-1.27,1.25,-1.19,0.02
2016-08-31,0.49,1.7,3.13,-1.88,-0.34,0.02
2016-09-30,0.25,1.86,-1.23,-2.23,0.03,0.02
2016-10-31,-2.02,-4.04,4.12,0.96,0.28,0.02
2016-11-30,4.86,7.04,8.19,-0.21,3.69,0.01
2016-12-31,1.81,0.39,3.56,1.23,-0.22,0.03
2017-01-31,1.94,-1.43,-2.76,-0.5,-0.99,0.04
2017-02-28,3.57,-2.21,-1.68,0.45,-1.83,0.04
2017-03-31,0.17,0.74,-3.32,0.62,-0.94,0.03
2017-04-30,1.09,0.47,-2.1,1.91,-1.6,0.05
2017-05-31,1.06,-3.03,-3.78,0.95,-1.81,0.06
2017-06-30,0.78,2.57,1.48,-2.25,0.01,0.06
2017-07-31,1.87,-1.66,-0.24,-0.69,-0.11,0.07
2017-08-31,0.16,-1.83,-2.09,0.15,-2.37,0.09
2017-09-30,2.51,4.77,3.12,-1.46,1.67,0.09
2017-10-31,2.25,-1.93,0.21,0.92,-3.24,0.09
2017-11-30,3.12,-0.36,-0.08,3.19,-0.08,0.08
2017-12-31,1.06,-1.07,0.05,0.75,1.67,0.09
2018-01-31,5.57,-3.2,-1.33,-0.73,-1.01,0.12
2018-02-28,-3.65,0.31,-1.07,0.54,-2.39,0.11
2018-03-31,-2.35,3.58,-0.23,-0.45,0,0.11
2018-04-30,0.28,0.93,0.54,-2.43,1.27,0.14
2018-05-31,2.65,4.74,-3.18,-2.05,-1.47,0.14
2018-06-30,0.48,0.81,-2.33,0.78,0.24,0.14
2018-07-31,3.19,-1.93,0.47,1.56,0.35,0.16
2018-08-31,3.44,0.63,-3.98,-0.3,-2.66,0.16
2018-09-30,0.06,-2.49,-1.69,0.64,1.3,0.15
2018-10-31,-7.68,-4.46,3.44,0.94,3.6,0.19
2018-11-30,1.69,-0.77,0.28,-0.56,0.36,0.18
2018-12-31,-9.57,-2.87,-1.85,-0.03,0.22,0.2
2019-01-31,8.4,3.02,-0.46,-0.78,-1.51,0.21
2019-02-28,3.4,1.74,-2.67,0.12,-1.6,0.18
2019-03-31,1.1,-3.5,-4.1,0.9,-0.96,0.19
2019-04-30,3.97,-1.17,2.14,1.62,-2.2,0.21
2019-05-31,-6.94,-1.58,-2.35,-0.47,1.76,0.21
2019-06-30,6.93,0.36,-0.72,0.91,-0.43,0.18
2019-07-31,1.19,-1.78,0.47,-0.07,0.37,0.19
2019-08-31,-2.58,-3.23,-4.77,0.55,-0.69,0.16
2019-09-30,1.43,0.27,6.74,1.84,3.36,0.18
2019-10-31,2.06,0.27,-1.92,0.44,-0.96,0.16
2019-11-30,3.87,0.45,-2,-1.6,-1.25,0.12
2019-12-31,2.77,0.97,1.77,0,1.23,0.14
2020-01-31,-0.11,-4.38,-6.23,-1.17,-2.32,0.13
2020-02-29,-8.13,0.04,-3.79,-1.47,-2.51,0.12
2020-03-31,-13.39,-8.3,-13.95,-1.52,1.26,0.13
2020-04-30,13.65,2.58,-1.26,2.71,-1.01,0
2020-05-31,5.58,1.97,-4.89,0.96,-3.25,0.01
2020-06-30,2.46,1.97,-2.17,0.09,0.53,0.01
2020-07-31,5.77,-3.2,-1.37,0.4,0.96,0.01
2020-08-31,7.63,-0.89,-2.96,4.26,-1.2,0.01
2020-09-30,-3.63,0.01,-2.68,-1.39,-1.89,0.01
2020-10-31,-2.1,4.64,4.22,-0.75,-0.76,0.01
2020-11-30,12.47,7.12,2.13,-2.2,1.37,0.01
2020-12-31,4.63,4.79,-1.5,-1.99,-0.11,0.01
2021-01-31,-0.03,6.92,2.97,-3.81,4.9,0.01
2021-02-28,2.78,4.53,7.17,0.31,-1.94,0
2021-03-31,3.08,-0.86,7.39,6.47,3.41,0
2021-04-30,4.93,-3.15,-0.95,2.49,-2.69,0
2021-05-31,0.29,1.23,7.09,2.53,3.01,0
2021-06-30,2.75,-0.34,-7.83,-2.18,-0.95,0
2021-07-31,1.27,-4.63,-1.78,5.5,-0.52,0
2021-08-31,2.91,-0.68,-0.15,-0.3,-1.79,0
2021-09-30,-4.37,1.13,5.09,-1.9,2.11,0
2021-10-31,6.65,-2.7,-0.49,1.69,-1.45,0
2021-11-30,-1.55,-1.77,-0.45,7.22,1.72,0
2021-12-31,3.1,-0.77,3.26,4.92,4.4,0.01
2022-01-31,-6.25,-4.04,12.75,0.87,7.74,0
2022-02-28,-2.29,2.94,3.08,-2.08,3.12,0
2022-03-31,3.05,-2.16,-1.8,-1.56,3.14,0.01
2022-04-30,-9.46,-0.41,6.17,3.63,5.89,0.01
2022-05-31,-0.34,-0.05,8.39,1.44,3.97,0.03
2022-06-30,-8.43,1.31,-5.98,1.86,-4.7,0.06
2022-07-31,9.57,1.86,-4.1,0.68,-6.92,0.08
2022-08-31,-3.77,1.49,0.3,-4.78,1.3,0.19
2022-09-30,-9.35,-0.97,0.06,-1.51,-0.84,0.19
2022-10-31,7.83,1.86,8.05,3.07,6.52,0.23
2022-11-30,4.6,-2.67,1.38,6.01,3.11,0.29
2022-12-31,-6.41,-0.16,1.32,0.09,4.19,0.33
2023-01-31,6.65,4.43,-4.08,-2.61,-4.52,0.35
